M̻s/ano do retorno,Retorno
Jan/2017,0.0112730988990460234674811
Feb/2017,0.021114507561945582775762290
Mar/2017,0.016210782885756443849917766
Apr/2017,0.002998347805392986841372953
May/2017,0.001147859153764025658497616
Jun/2017,0.004208223163892861042585544
Jul/2017,0.024467306344396079344672707
Aug/2017,0.010959955791137708015186322
Sep/2017,0.022701947485071501956752481
Oct/2017,-0.0011739838522481851127098684
Nov/2017,-0.0013658319955349187441991405
Dec/2017,0.011586071203163744298175786
Jan/2018,0.018853123605529575262222010
Feb/2018,0.006838243780047428096792907
Mar/2018,0.014889560320707574632787458
Apr/2018,0.005419296134627532222072214
May/2018,-0.0117508975823800163145413821
Jun/2018,0.005108406577885850778113409
Jul/2018,0.017913758291273327067782544
Aug/2018,0.003289581186210614672328461
Sep/2018,0.009015362015702839457053034
Oct/2018,0.030566862316691965057481660
Nov/2018,0.005904357099289845651843838
Dec/2018,0.012564758815716707994242762
Jan/2019,0.019021469798849765912222302
Feb/2019,0.010514733149576872422782366
Mar/2019,0.009505386475776259257073561
Apr/2019,0.009924385382754824559186099
May/2019,0.017139470560758805860686044
Jun/2019,0.019471802651551543699282366
Jul/2019,0.006819814733509939451256588
Aug/2019,-0.0033847312793389501749333329
Sep/2019,0.013436090681048888644465429
Oct/2019,0.007771327487099102367473105
Nov/2019,-0.0130147182153851694822048792
Dec/2019,0.014452793494677717155083237
Jan/2020,0.009624935939304098446839223
Feb/2020,0.005172376049068869220796437
Mar/2020,-0.0549442770876947149064375517
Apr/2020,0.016221951222928905438417006
May/2020,0.018383076508979539748831330
Jun/2020,0.011809154585395374650976669
Jul/2020,0.026448947727898889979148568
Aug/2020,0.004091239575740233740656748
Sep/2020,0.000033835635354191037986656
Oct/2020,0.008739630406951154058676213
Nov/2020,0.013440946639372705255806556
Dec/2020,0.023874678279673828233850479
Jan/2021,0.002660374695136107480788127
Feb/2021,-0.0029861874746786863308238259
Mar/2021,0.003644689639544718951143839
